course_number,course_title,professor,credits,class_cap,primary_schedule_day,primary_schedule_start_time,primary_schedule_end_time,primary_schedule_location,secondary_schedule_day,secondary_schedule_start_time,secondary_schedule_end_time,secondary_schedule_location,distributional_area,crosslists,additional_schedule,description,crn_number,program,source
WRIT 123 A,"Poetry Workshop I","Michael Ives",4,14,Tue Thurs, 11:50, 13:10, "Olin 107",,,,,"PA","","","In this course, we’ll approach poems as crafted experiences that arise out of enmeshed acts of collecting, assembling, shaping, and dramatizing. Considerable attention will be given to language and silence as delivery mechanisms—modes of transport into myriad states of feeling, attending, thinking, and being. Over the course of the term, we’ll sample a spectrum of poetic forms, voices, structures, and encounters, and learn to probe them for what they can teach us. Students will be encouraged to extend their range and sharpen their creative and critical gifts through developing their ear, and inviting new lexicons, syntactical structures, and tonal variations to seep into their work. Class will be structured around the original composition of poetry, supplemented by critical analysis of assigned poems and texts on poetics, peer critique, in-class writing exercises, and discussions on creative process. All spaces are reserved for incoming first year and transfer students. Registration for this class will take place in August.",92164,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
WRIT 123 B,"Poetry Workshop I","Jenny Xie",4,14,Tue Thurs, 11:50, 13:10, "Hegeman 300",,,,,"PA","","","Poetry and poet derive from the ancient Greek term for a creator, a maker. In this course, we’ll approach poems as crafted experiences—made pieces—that arise out of enmeshed acts of collecting, assembling, shaping, and dramatizing. Considerable attention will be given to language and silence as delivery mechanisms—modes of transport into myriad states of feeling, attending, thinking, and being. Over the course of the term, we’ll sample a spectrum of poetic forms, voices, structures, and encounters, and learn to probe them for they can teach us. Students will be encouraged to extend their range and sharpen their creative and critical gifts through developing their ear, and inviting new lexicons, syntactical structures, and tonal variations to seep into their work. Class will be structured around the original composition of poetry, supplemented by critical analysis of assigned poems and texts on poetics, peer critique, in-class writing exercises, and discussions on creative process. All spaces are reserved for incoming first year and transfer students. Registration for this class will take place in August.",92165,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
WRIT 215,"Risk and the Art of Poetry","Dawn Lundy Martin",4,12,Mon Wed, 11:50, 13:10, "Olin 309",,,,,"PA","","","We are alive and writing during one of the most fragile times in most of our lifetimes—a time of plague and war, a time of elevated mass violence and white supremacist organizing, a time when most of us seek safety, not risk. Poetry, however, is a way toward thinking through what it means to be human in any context, whether we can recognize the world as ours or not. It has the capacity to shift our thinking—about sentence structures, about habitual patterns of thought, about what might be possible in the future. Poetry helps us recalibrate the already known so that we may re-see what appears ordinary or immutable. In this course you’ll generate new poems that push the boundaries of what you already know about what a poem might be. In creative practice, we’ll investigate this notion of risk. Readings will include work by Fred Moten, Fahima Ife, Cecilia Vicuña, Saidiya Hartman, Jane Wong, Jerome Ellis, among others.",92171,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
WRIT 251,"The Act(s) of Poetry","Erica Kaufman",4,12,Mon Wed, 15:30, 16:50, "Olin 310",,,,,"PA","","","Poet-critic Lorenzo Thomas begins “How to See Through Poetry: Myth Perception and History” with the following question: “When is poetry or the word, itself, action?” Taking our cue from Thomas’s question, this course focuses on the reading and writing of poetry as an active, investigative process. Through delving into a myriad of modern and contemporary global writers (Leslie Scalapino, Eileen Myles, Myung Mi Kim, Harryette Mullen, Serhiy Zhadan, Mahmoud Darwish, Etel Adnan, CAConrad), and poetic genres (occasional, documentary, ecological, procedural poetries) we will examine how poetry acts. What does the form of poetry make possible in our own writing that other literary genres cannot? What kind of agency and knowledge-making does poetry enact and invite? Please email a writing sample to kaufman@bard.edu after registration.",92169,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
WRIT 369,"Toward (A) Moral Fiction","Mary Caponegro",4,12,Mon, 15:10, 17:30, "Reem Kayden Center 200",,,,,"PA","Literature","","The novels in this course each grapple with ethical issues through fictive means. In navigating them, we will try to assess the way in which literature can create, complicate, or resolve ethical dilemmas—or appear to eschew morality altogether. We will also attend to craft, investigating how these author’s concerns are furthered by formal considerations. Students will read approximately one novel per week, occasionally supplemented by theoretical texts. Analytical and creative writing will allow students to find their own fictive paths to a social, ethical or political issue as they consider the liabilities of both didacticism and sensationalism, and explore the role of imagination in the expansiveness of fiction. The syllabus will likely include the following novels, among others: Heinrich von Kleist’s Michael Kohlhaas, Kenzaburo Oe’s Nip the Buds Shoot the Kids, Margaret Atwood’s The Handmaid’s Tale, Roberto Bolano’s By Night in Chile, Percival Everett’s The Trees, Elfriede Jelinek’s Wonderful Wonderful Times, J.M. Coetzee’s Disgrace, NoViolet Bulawayo’s Glory, Miriam Toews’ Women Talking, Rikki Ducornet’s Netsuke, Atticus Lish’s Preparation for the Next Life, and Elena Ferrante’s The Lost Daughter.",92172,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
WRIT 370,"The Will to Change: Resistance & Persuasion in Poetry and the Arts","Ann Lauterbach",4,12,Mon, 12:30, 14:50, "Olin Languages Center 120",,,,,"PA, D+J","Art History and Visual Culture","","The poet Charles Olson began his 1949 poem “The Kingfishers” with the line: What does not change/is the will to change. And the critic bell hooks called her 2004 book The Will to Change: Men, Masculinity and Love. This class will ask whether creative work can change how we think and act toward each other and the world. Should the arts provide an escape from reality, a way to alter it, or both? Can aesthetic choices, and our experience of them, challenge how we perceive, value and interpret our world? Do new forms awaken new thoughts and behaviors? Does the idea of the Beautiful change over time, and is it a valid means of moral or ethical persuasion? Must a work’s content be polemical in order to register resistance to the status quo? Does democracy need acts of imagination in order to thrive? Ideas & examples drawn from diverse sources in poetics, philosophy, and art, possibly including Nietzsche, William James, John Dewey, Hannah Arendt, Helen Molesworth, Dave Hickey, Stanley Cavell, Mina Loy, John Cage, Samuel Beckett, George Oppen, Fred Moten, Felix Gonzalez Torres, Cindy Sherman, Harriette Mullen, Charles Bernstein, Simone White, Leslie Scalapino. Weekly responses; one term project. Please send the professor a note explaining your interest in the course prior to registration.",92176,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
WRIT 372,"The Here and Now: Inquiries into the Everyday","Jenny Offill",4,12,Thur, 15:10, 17:30, "Olin 303",,,,,"PA","","","In this course, we will look at a wide variety of literature, film, and art that concerns itself with the clarification and magnification of particular moments of being. An emphasis will be placed on how these works highlight everyday things that often pass beneath our notice. In a series of cross-disciplinary projects, we will focus on the small, the habitual, the overlooked, and discuss how we might transform these seemingly modest things with the force of our attention. We will discuss why a specific (and at times mysterious-seeming) choice has been made by a writer or artist, as well as expanding our conversations to include larger philosophical questions prompted by these explorations of craft. Topics for discussion will include the science of attention, the uses of ritual and repetition, “the discipline of rightness” (as Wallace Stevens once described it), and why feeling so often precedes form. Readings/viewings will include work by Natalia Ginzburg, Rainer Marie Rilke, Virginia Woolf, Francis Ponge, Henri Lefebvre, Teju Cole, Jonathan Crary, Claudia Rankine, Joy Williams, Mierle Laderman Ukeles, John Cage, Gaston Bachelard and Tehching Hsieh among others. Over the course of the semester, we will use these texts and artworks as a springboard for writing our own original texts.",92468,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
WRIT 405,"Written Arts Senior Colloquium",". TBA",1,30,Mon, 17:40, 19:00, "Reem Kayden Center 103",,,,,"PA","","","The Senior Colloquium in the Written Arts is an important supplement to the Senior Project. It has several objectives: intellectual/artistic, social, and vocational. The primary purpose is to guide seniors, both practically and philosophically, in the daunting task of creating a coherent and inspired creative work of high quality within a single academic year. Emphasis is on demystifying the project process, including its bureaucratic hurdles, as well as exploring the role of research in the creative realm, and helping students use each other as a critical and inspirational resource during this protracted solitary endeavor, sharing works in progress when appropriate. This supplements but never supplants the primary and sacrosanct role of the project adviser. Program faculty and alumni/ae, career development and other staff, and outside speakers (such as editors, translators, MFA graduates and directors, publishing personnel, etc.) contribute their collective wisdom and experience, sharing the myriad ways in which writers move an idea toward full creative realization, and giving a glimpse of the kinds of internships and careers available to the writer. Required for students enrolled in a Written Arts Senior Project. All such students are enrolled automatically by the Registrar.",92179,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
LIT 210,"Translation, in Theory","Elizabeth Holt",4,22,Tue Thurs, 10:10, 11:30, "Olin 101",,,,,"FL","Written Arts","","This course introduces students to theories and practices of translation. We will read from a range of theorists, to include Lydia Lu, Walter Benjamin, Walter Ong, Emily Apter, Michel Foucault, Ngugi wa Thiong’o, Abdelfattah Kilito, Lawrence Venuti, and Gayatri Spivak; as well as the work of literary critics and intellectual historians as they deploy theories of translation in textual analysis. We will also study contemporary translation practices, from machine translation, to translation by correspondence, to the appearance of new translations of classic works such as the Arabian Nights. There are no pre-requisites. This course is part of the World Literature offering.",92131,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
LIT 147,"Culture and Cultivation","Elizabeth Holt",4,22,Tue Thurs, 10:10, 11:30, "Olin 101",,,,,"LA","Written Arts","","This course begins in the Oxford English Dictionary under culture as a transitive verb, meaning “to cultivate (the soil, plants.... pearls, fish, etc.)“ if also “to cultivate (an art, subject, etc.).“ The course surveys the dissemination of these overlapping significations of culture and cultivation through histories and theories of narrative, poetics, and prosody, drawing broadly from Arabic, French, and Anglophone textual traditions. Students will compose a final class project on a literary text of their choice. This is part of the World Literature offering.",92482,Written Arts,https://inside.bard.edu/academic/courses/fall2023/writers.html
LIT 323,"Lolita: Nabokov and the Language of Desire","Olga Voronina",4,15,Mon, 12:30, 14:50, "Olin 307",,,,,"LA","","","This course invites students to contemplate the legendary eroticism of Nabokov’s masterwork not only as a matter of plot, characterization, or dialogue, but also as a linguistic phenomenon. The aesthetics of sexual desire for Nabokov is inseparable from language – a physiological, cognitive, and symbolic medium that can affect the reader both on the level of sound (alliteration, friction, tension, etc.) as well as through figurative speech, with its multiplicity of connotations and allusions (hidden messages are like taboos: we desire to break them). Lolita, the novel we will be reading and re-reading in class, was written in English, which Nabokov acquired and adopted, rather than being born into. We will investigate the impact Nabokov’s complicated relationship with the language had on his writing techniques and stylistic choices. We will also explore strategies of narrative concealment Nabokov used in order to seduce, mislead, and even morally blind his readers. Among the texts offered for study and discussion, there will be Lolita’s prototexts, such as fairy-tales and Arthurian legends; works by William Shakespeare, Johann Wolfgang von Goethe, Edgar Allan Poe, Lewis Carroll, and John Ruskin; Russian classical literature (Fyodor Dostoevsky, Leo Tostoy, Anton Chekhov); German, French, and American pulp fiction; and the author’s own novels and short stories, either written in English (Bend Sinister, “A Fairy-Tale”, “Colette”) or self-translated from the Russian (Laughter in the Dark). This course is a Literature Junior Seminar course.",92150,Junior Seminars,https://inside.bard.edu/academic/courses/fall2023/litseminar.htm
LIT 334,"Fantastika and the New Gothic","Bradford Morrow",4,15,Mon, 12:30, 14:50, "Olin 101",,,,,"LA","","","The critical boundaries between literary and genre fiction have become increasingly biguous over the past several decades, thanks to the liberating and bitious work by a number of pioneering writers. Traditional gothic authors including Horace Walpole, Ann Radcliffe, Matthew Gregory Lewis, Mary Shelley, Sara Coleridge, E. A. Poe, the Brontë sisters, Br Stoker, and others framed their tales within the metaphoric landscapes of ruined abbeys and diabolic grottoes, chthonic settings populated by protagonists whose troubled psyches led them far beyond the verges of propriety and sanity. While embracing the se fundentally dark artistic vision, later masters radically reinvented and contemporized tropes, settings, and narrative strategies to create a new era in this tradition. Identified as the New Gothic, this phase appears to have risen in tandem with a parallel literary phenomenon, termed by speculative fiction theorist John Clute as Fantastika, whose achievement is to have taken the genres of the fantastic, fabular, and horror in a similar groundbreaking literary direction. While not dismissing the fundamental spirit that animates its genre forebears, writers such as Angela Carter, Kazuo Ishiguro, Cormac McCarthy, N. K. Jemisin, Joyce Carol Oates, Kelly Link, Carmen Maria Machado, Karen Russell, Sofia Satar, Julia Elliott, George Saunders, and Elizabeth Hand have created a body of serious literary fiction that we will focus on in this course. Several authors will join us in person and via Zoom to discuss their work with the class. Students in this course will have the opportunity to meet in class with three major writers in this field and discuss their work, Brian Evenson, Kelly Link, and Elizabeth Hand (we will be among the first to read Hand’s authorized sequel to Shirley Jackson’s masterpiece, The Haunting of Hill House).",92152,300 and 400 Level Courses,https://inside.bard.edu/academic/courses/fall2023/lit3courses.html
LIT 345,"Difficulty","Joseph O’Neill",4,15,Mon, 12:30, 14:50, "Olin 301",,,,,"LA","","","What do we mean when we say a piece of writing is “difficult” or “easy?” In what sense is, say, a children’s tale less difficult than a modernist poem? In this course we will closely examine a variety of short texts in order to investigate such questions and to think about the different roles a reader might assume in order to productively interpret a “difficult” or “easy” text: decoder, technician, philologist, ideologue, initiate, psychoanalyst, aesthete, and so forth. In this way, we will lay a foundation for literary theory and develop strategies for engaging with writings that are often deemed to be too forbidding (or too simple) for our attention. Readings could include the Gospel of St. Mark and work by Thomas Browne, the Grimm brothers, James Joyce, Hermann Broch, Gertrude Stein, Sylvia Plath, Emmanuel Levinas, John Ashbery, Lydia Davis, Annie Dillard, and Arnold Lobel (author of the Frog and Toad books).",92153,300 and 400 Level Courses,https://inside.bard.edu/academic/courses/fall2023/lit3courses.html
LIT 388,"Imaginary Childhoods","Francine Prose",4,15,Fri, 13:30, 16:30, "Olin 101",,,,,"LA","","","In this class, we will study two classic coming-of-age novels, Great Expectations and Jane Eyre, with a focus on how Charles Dickens and Charlotte Bronte transformed their childhood memories–shaped by gender, class, and luck–into art. Additional readings will include: Mrs. Gaskell’s The Life of Charlotte Bronte and Claire Tomalin’s Charles Dickens; Harry Crews’s A Childhood, and essays by, among others, Hilton Als, Diane Johnson, Rebecca West and Edmund Wilson. Students should write me at prose@bard.edu to explain why they want to take the course.",92148,300 and 400 Level Courses,https://inside.bard.edu/academic/courses/fall2023/lit3courses.html
LIT 405,"Literature Senior Colloquium I",". TBA",1,25,,,,,,,,,"LA","","","(To be taken concurrently with LIT 401) Senior Colloquium is the capstone course in the Literature curriculum and, along with the Senior Project, represents the culmination of your work in the major. The course has several interrelated goals: 1) to facilitate and support every stage of your work on the Senior Project; 2) to develop ways of sharing that work and constructively exchanging ideas with fellow colloquium members as well as other Literature students and faculty; 3) to actively engage with related intellectual and artistic events (such as readings, panel discussions, and lectures) in ways that connect your work on the Senior Project with the work of prominent scholars and writers; 4) to cultivate an honest, self-reflective relationship toward your own scholarship, thinking, and writing; and 5) to document your research in a way that is generous toward future readers and writers.",92157,300 and 400 Level Courses,https://inside.bard.edu/academic/courses/fall2023/lit3courses.html
LIT 406,"Literature Senior Colloquium II",". TBA",1,15,,,,,,,,,"LA","","","(To be taken concurrently with LIT 402) Senior Colloquium is the capstone course in the Literature curriculum and, along with the Senior Project, represents the culmination of your work in the major. The course has several interrelated goals: 1) to facilitate and support every stage of your work on the Senior Project; 2) to develop ways of sharing that work and constructively exchanging ideas with fellow colloquium members as well as other Literature students and faculty; 3) to actively engage with related intellectual and artistic events (such as readings, panel discussions, and lectures) in ways that connect your work on the Senior Project with the work of prominent scholars and writers; 4) to cultivate an honest, self-reflective relationship toward your own scholarship, thinking, and writing; and 5) to document your research in a way that is generous toward future readers and writers.",92158,300 and 400 Level Courses,https://inside.bard.edu/academic/courses/fall2023/lit3courses.html
LIT 201 A,"Narrative/Poetics/Representation","Cole Heinowitz",4,15,Tue Thurs, 11:50, 13:10, "Olin 307",,,,,"LA","","","What does it mean to study literature today? How, precisely, do poetry, fiction, creative nonfiction, and drama differ from other forms of expression? How can we read those differences—the small, unexpected ways that works of literature can transform everyday life and everyday language—in connection with larger cultural, political, and aesthetic questions? And how can we use encounters with literary texts to reimagine or remodel our visions of self, community, and our mode of being in the world? Emphasizing the practice of close textual analysis and introducing students to foundational and emerging methods in literary studies, this course lays the groundwork for further investigations across a range of literary forms, national traditions, historical moments, and social identities. This course is a pre-moderation requirement for all prospective Literature and Written Arts majors.",92127,100 and 200 Level Classes,https://inside.bard.edu/academic/courses/fall2023/lit2courses.html
LIT 201 B,"Narrative/Poetics/Representation","Ingrid Becker",4,15,Tue Thurs, 13:30, 14:50, "Olin 307",,,,,"LA","","","What does it mean to study literature today? How, precisely, do poetry, fiction, creative nonfiction, and drama differ from other forms of expression? How can we read those differences—the small, unexpected ways that works of literature can transform everyday life and everyday language—in connection with larger cultural, political, and aesthetic questions? And how can we use encounters with literary texts to reimagine or remodel our visions of self, community, and our mode of being in the world? Emphasizing the practice of close textual analysis and introducing students to foundational and emerging methods in literary studies, this course lays the groundwork for further investigations across a range of literary forms, national traditions, historical moments, and social identities. This course is a pre-moderation requirement for all prospective Literature and Written Arts majors.",92128,100 and 200 Level Classes,https://inside.bard.edu/academic/courses/fall2023/lit2courses.html
LIT 201 C,"Narrative/Poetics/Representation","Stephen Graham",4,15,Mon Wed, 15:30, 16:50, "Olin 308",,,,,"LA","","","What does it mean to study literature today? How, precisely, do poetry, fiction, creative nonfiction, and drama differ from other forms of expression? How can we read those differences—the small, unexpected ways that works of literature can transform everyday life and everyday language—in connection with larger cultural, political, and aesthetic questions? And how can we use encounters with literary texts to reimagine or remodel our visions of self, community, and our mode of being in the world? Emphasizing the practice of close textual analysis and introducing students to foundational and emerging methods in literary studies, this course lays the groundwork for further investigations across a range of literary forms, national traditions, historical moments, and social identities. This course is a pre-moderation requirement for all prospective Literature and Written Arts majors.",92129,100 and 200 Level Classes,https://inside.bard.edu/academic/courses/fall2023/lit2courses.html
LIT 252,"Empire, Equality, Ecology: British Literature since 1800","Daniel Williams",4,22,Tue Thurs, 15:30, 16:50, "Olin Languages Center 120",,,,,"LA","","","(This course has no prerequisites and is open to students at all levels.) A broad survey of British literature and culture from the early 19th through the late 20th century, with readings organized according to three interconnected themes. First, the expansion, critique, and eventual dissolution of the British Empire, with its concomitant effects on colonized (and later postcolonial) peoples around the globe. Next, Britain’s rapid industrialization and the resultant shifts in humanity’s relationship to the natural world, partly reflected in scientific and ecological writing. Finally, the widening of equality, particularly in terms of class and gender, with its attendant social and political upheavals. We will consider how literature interacted with these developments, looking at various literary movements and a range of evolutions in form, genre, and style. Readings will include poetry, short stories, novels, plays, manifestos, and essays, as well as relevant historical and theoretical materials.",92135,100 and 200 Level Classes,https://inside.bard.edu/academic/courses/fall2023/lit2courses.html
THTR 310,"Shakespeare: The Director and the Text","Jonathan Rosenberg",4,15,Tue, 15:10, 17:30, "Fisher Performing Arts Center CONFERENCE",,,,,"AA","Literature","","",92386,Literature,https://inside.bard.edu/academic/courses/fall2023/literature.html
ARCH 225 BC,"At scale: Architectural Models","Betsy Clifton",4,12,Tue, 13:30, 16:30, "",Thurs, 13:30, 15:30, "","PA","","","",92184,,
ARCH 321 MC,"Designing The Potential History of a Pathmark and One Manhattan Square","Michael Cohen",4,12,Tue, 10:10, 13:10, "",Thurs, 10:10, 12:10, "","PA, D+J","","","",92190,,
ARCH 405 ,"Senior Project Colloquium","Ross Adams",0,8,Tue, 17:10, 19:30, "",,,,,"","","","",92185,,
ART 100 MH,"Extended Media I: Experimental Image Making","Maggie Hazen",4,12,Mon, 14:00, 17:00, "",,,,,"PA","","","",92349,,
ART 101 RM,"Painting I","Rebecca Morgan",4,12,Tue, 14:00, 17:00, "",,,,,"PA","","","",92354,,
ART 101 JVD,"Painting I","Jonathan VanDyke",4,12,Wed, 10:10, 13:10, "",,,,,"PA","","","",92360,,
ART 101 LK,"Painting I","Laleh Khorramian",4,12,Thurs, 10:10, 13:10, "",,,,,"PA","","","",92368,,
ART 105 JS,"Sculpture I","Julianne Swartz",4,12,Mon, 14:00, 17:00, "",,,,,"PA","","","",92346,,
ART 105 DD,"Sculpture I","Daniella Dooling",4,12,Tue, 10:10, 13:10, "",,,,,"PA","","","",92350,,
ART 105 AG,"Sculpture I: The Chair","Arthur Gibbons",4,12,Fri, 10:10, 13:10, "",,,,,"PA","","","",92372,,
ART 107 MB,"Drawing I","Mara Baldwin",4,12,Tue, 10:10, 13:10, "",,,,,"PA","","","",92351,,
ART 107 KF,"Drawing I","Katy Fischer",4,12,Wed, 15:30, 18:30, "",,,,,"PA","","","",92364,,
ART 107 NB,"Drawing I","Nayland Blake",4,12,Thurs, 14:00, 17:00, "",,,,,"PA","","","",92370,,
ART 109 LO,"Printmaking I: Intaglio","Lothar Osterburg",4,12,Mon, 14:00, 17:00, "",,,,,"PA","","","",92347,,
ART 109 BG,"Printmaking I: Mark-Making","Beka Goedde",4,12,Tue, 14:00, 17:00, "",,,,,"PA","","","",92353,,
ART 109 AC,"Print I: Relief and Monoprint","Adriane Colburn",4,12,Wed, 10:10, 13:10, "",,,,,"PA","","","",92361,,
ART 113 TVP,"The Creative Self and The No Self of the Zen Arts","Tatjana Myoko von Prittwitz und Gaffron",4,12,Mon, 14:00, 17:00, "",,,,,"PA","","","",92463,,
ART 125 AC,"Of Paper","Adriane Colburn",4,12,Tue, 14:00, 17:00, "",,,,,"PA","","","",92357,,
ART 150 TBA,"Extended Media I",". TBA",4,12,Wed, 10:10, 13:10, "",,,,,"PA","","","",92362,,
ART 150 JW,"Extended Media I","Julia Weist",4,12,Wed, 15:30, 18:30, "",,,,,"PA","","","",92366,,
ART 200 MH,"Extended Media II: Experimental Video","Maggie Hazen",4,12,Tue, 14:00, 17:00, "",,,,,"PA","","","",92356,,
ART 201 LS,"Painting II","Lisa Sanditz",4,12,Mon, 10:10, 13:10, "",,,,,"PA","","","",92345,,
ART 202 JVD,"Painting II: Abstraction and Material Experimentation","Jonathan VanDyke",4,12,Tue, 14:00, 17:00, "",,,,,"PA","","","",92355,,
ART 205 AG,"Sculpture II: Steel Obstacles & Bridges","Arthur Gibbons",4,8,Thurs, 10:10, 13:10, "",,,,,"PA","","","",92367,,
ART 205 KF,"Sculpture II: Soft Sculpture","Kenji Fujita",4,12,Thurs, 14:00, 17:00, "",,,,,"PA","","","",92371,,
ART 207 AA,"Drawing II",". TBA",4,12,Mon, 14:00, 17:00, "",,,,,"PA","","","",92348,,
ART 207 LK,"Drawing II","Laleh Khorramian",4,12,Wed, 14:00, 17:00, "",,,,,"PA","","","",92365,,
ART 209 LO,"Print II: The Artists Book","Lothar Osterburg",4,12,Tue, 10:10, 13:10, "",,,,,"PA","","","",92352,,
ART 250 JW,"Extended Media II","Julia Weist",4,12,Thurs, 10:10, 13:10, "",,,,,"PA","","","",92369,,
ART 301 RM,"Painting III: A Body of Work","Rebecca Morgan",4,12,Wed, 10:10, 13:10, "",,,,,"PA","","","",92363,,
ART 305 S/A,"Mutable Elements: Performative and Experimental Ceramics","Julianne Swartz/Lauren Anderson",4,12,Wed, 15:30, 18:30, "",,,,,"PA","","","",92358,,
ART 305 JP,"Sculpture III:","Judy Pfaff",4,12,Fri, 10:10, 13:10, "",,,,,"PA","","","",92373,,
ART 405 DD,"Senior Seminar","Daniella Dooling",0,20,Tue, 17:40, 19:40, "",,,,,"","","","",92359,,
ARTH 251 ,"Photography's Other Histories","Laurie Dahlberg",4,22,Tue Thurs, 10:10, 11:30, "",,,,,"","","","",91859,,
ARTH 320 ,"Dura-Europos/Problems of Archaeological Archives, (Part 2)","Anne Chen",2,5,Wed, 9:10, 11:30, "",,,,,"AA","","","",91858,,
ARTH 385 ,"Theories and Methods of Art History","Olga Touloumi",4,15,Thurs, 15:10, 17:30, "",,,,,"AA","","","",91868,,
ARTH 397 ,"Art School","Alex Kitnick",4,15,Wed, 15:30, 17:50, "",,,,,"AA","","","",91865,,
CNSV 100 AA,"Studio Instruction","Adele Anthony",4,5,,,,,,,,,"PA","","","",92191,,
CNSV 100 DA,"Studio Instruction","Demian Austin",4,5,,,,,,,,,"PA","","","",92192,,
CNSV 100 EC,"Studio Instruction","Edward Carroll",4,5,,,,,,,,,"PA","","","",92193,,
CNSV 100 ECB,"Studio Instruction","Eric Cha-Beach",4,5,,,,,,,,,"PA","","","",92194,,
CNSV 100 RC,"Studio Instruction","Richard Cox",4,5,,,,,,,,,"PA","","","",92195,,
CNSV 100 SC,"Studio Instruction","Sarah Cutler",4,5,,,,,,,,,"PA","","","",92196,,
CNSV 100 ED,"Studio Instruction","Elaine Douvas",4,5,,,,,,,,,"PA","","","",92197,,
CNSV 100 LF,"Studio Instruction","Luo Sha Fang",4,5,,,,,,,,,"PA","","","",92198,,
CNSV 100 MG,"Studio Instruction","Marc Goldberg",4,5,,,,,,,,,"PA","","","",92199,,
CNSV 100 MG2,"Studio Instruction","Marka Gustavsson",4,5,,,,,,,,,"PA","","","",92200,,
CNSV 100 BH,"Studio Instruction","Brian Hong",4,5,,,,,,,,,"PA","","","",92201,,
CNSV 100 KI,"Studio Instruction","Keisuke Ikuma",4,5,,,,,,,,,"PA","","","",92202,,
CNSV 100 YWJ,"Studio Instruction","Yi-Wen Jiang",4,5,,,,,,,,,"PA","","","",92203,,
CNSV 100 BJC,"Studio Instruction","Barbara Currie",4,5,,,,,,,,,"PA","","","",92204,,
CNSV 100 EK,"Studio Instruction","Erica Kiesewetter",4,5,,,,,,,,,"PA","","","",92205,,
CNSV 100 AK,"Studio Instruction","Alexandra Knoll",4,5,,,,,,,,,"PA","","","",92206,,
CNSV 100 DK,"Studio Instruction","David Krakauer",4,5,,,,,,,,,"PA","","","",92207,,
CNSV 100 PMF,"Studio Instruction","Pascual Martinez Forteza",4,5,,,,,,,,,"PA","","","",92208,,
CNSV 100 JM,"Studio Instruction","Jeremy McCoy",4,5,,,,,,,,,"PA","","","",92209,,
CNSV 100 BM,"Studio Instruction","Blair McMillen",4,5,,,,,,,,,"PA","","","",92210,,
CNSV 100 THO,"Studio Instruction","Tara O'Connor",4,5,,,,,,,,,"PA","","","",92211,,
CNSV 100 DP,"Studio Instruction","Daniel Phillips",4,5,,,,,,,,,"PA","","","",92212,,
CNSV 100 TP,"Studio Instruction","Todd Phillips",4,5,,,,,,,,,"PA","","","",92213,,
CNSV 100 RR,"Studio Instruction","Raman Ramakrishnan",4,5,,,,,,,,,"PA","","","",92214,,
CNSV 100 MR,"Studio Instruction","Melissa Reardon",4,5,,,,,,,,,"PA","","","",92215,,
CNSV 100 RR2,"Studio Instruction",". TBA",4,5,,,,,,,,,"PA","","","",92216,,
CNSV 100 MR2,"Studio Instruction","Marcus Rojas",4,5,,,,,,,,,"PA","","","",92217,,
CNSV 100 SR,"Studio Instruction","Sasha Romero",4,5,,,,,,,,,"PA","","","",92218,,
CNSV 100 NS,"Studio Instruction","Nicholas Schwartz",4,5,,,,,,,,,"PA","","","",92219,,
CNSV 100 GS,"Studio Instruction","Gil Shaham",4,5,,,,,,,,,"PA","","","",92220,,
CNSV 100 WS,"Studio Instruction","Weston Sprott",4,5,,,,,,,,,"PA","","","",92221,,
CNSV 100 GV,"Studio Instruction","Gilles Vonsattel",4,5,,,,,,,,,"PA","","","",92222,,
CNSV 100 PW,"Studio Instruction","Peter Wiley",4,5,,,,,,,,,"PA","","","",92223,,
CNSV 100 TW,"Studio Instruction","Terrence Wilson",4,5,,,,,,,,,"PA","","","",92224,,
CNSV 100 SW,"Studio Instruction","Shai Wosner",4,5,,,,,,,,,"PA","","","",92225,,
CNSV 100 CZ,"Studio Instruction","Carmit Zori Rinehart",4,5,,,,,,,,,"PA","","","",92226,,
CNSV 100 RA,"Studio Instruction",". TBA",4,5,,,,,,,,,"PA","","","",92465,,
CNSV 100 HV,"Studio Instruction",". TBA",4,5,,,,,,,,,"PA","","","",92466,,
DAN 103A SB,"Introduction to Contemporary African Dance","Souleymane Badolo",1,25,Mon Wed, 8:30, 9:50, "",,,,,"PA","","","",92254,,
DAN 103B TL,"Beginning Ballet I","Tara Lorenzen",1,25,Mon Wed, 10:10, 11:30, "",,,,,"PA","","","",92253,,
DAN 103M DG,"Intro to Modern Dance: Hip Hop","Dedrick Gray",1,20,Tue Thurs, 16:40, 18:00, "",,,,,"PA","","","",92263,,
DAN 211M VA,"Intermediate Modern Dance",". TBA",1,20,Tue Thurs, 11:50, 13:10, "",,,,,"PA","","","",92400,,
DAN 215A SB,"Intermediate/Advanced Contemporary West African Dance","Souleymane Badolo",1,20,Mon Wed, 11:50, 13:10, "",,,,,"PA","","","",92258,,
